Latitude	Longitude	Rx(dB)	BestUnit
 41,40347	-008,71583	 036,2	2
 41,40347	-008,71083	 037,7	2
 41,40347	-008,70584	 038,4	0
 41,40347	-008,70085	 037,8	0
 41,40347	-008,69586	 035,4	0
 41,40347	-008,69087	 031,3	0
 41,40347	-008,68588	 033,7	0
 41,40347	-008,68089	 033,7	0
 41,40347	-008,67590	 030,7	0
 41,40347	-008,67091	 035,3	0
 41,40347	-008,66593	 025,8	0
 41,40347	-008,66093	 019,5	2
 41,40347	-008,65594	 030,4	0
 41,40347	-008,65095	 026,8	0
 41,40347	-008,64596	 026,3	0
 41,40347	-008,64097	 028,0	0
 41,40347	-008,63598	 023,0	0
 41,40347	-008,63099	 018,4	0
 41,40347	-008,62600	 021,7	0
 41,40347	-008,62101	 022,8	0
 41,40347	-008,61602	 020,1	0
 41,40347	-008,61103	 016,9	0
 41,40347	-008,60604	 016,0	0
 41,40347	-008,60105	 028,2	2
 41,40347	-008,59606	 037,5	2
 41,40347	-008,59107	 023,8	0
 41,40347	-008,58608	 026,7	0
 41,40347	-008,58109	 039,7	0
 41,40347	-008,57610	 048,7	8
 41,40347	-008,57111	 032,2	0
 41,40347	-008,56612	 033,1	0
 41,40347	-008,56113	 038,0	2
 41,40347	-008,55614	 041,9	2
 41,40347	-008,55115	 046,1	2
 41,40346	-008,54616	 050,2	0
 41,40346	-008,54117	 050,2	0
 41,40347	-008,53618	 046,4	0
 41,40346	-008,53119	 038,3	0
 41,40347	-008,52620	 038,9	0
 41,40347	-008,52121	 027,9	0
 41,40347	-008,51622	 017,1	0
 41,40346	-008,51123	 046,6	8
 41,40347	-008,50624	 045,7	8
 41,40346	-008,50125	 044,7	0
 41,40347	-008,49626	 045,6	0
 41,40347	-008,49127	 044,4	8
 41,40347	-008,48628	 041,3	8
 41,40347	-008,48129	 032,5	2
 41,40347	-008,47630	 037,1	0
 41,40346	-008,47131	 048,1	8
 41,40347	-008,46632	 042,1	0
 41,40347	-008,46133	 038,9	0
 41,40347	-008,45634	 030,1	0
 41,40347	-008,45135	 022,9	0
 41,40347	-008,44636	 028,3	0
 41,40346	-008,44137	 016,9	0
 41,40347	-008,43638	 031,5	2
 41,40346	-008,43139	 034,9	2
 41,40347	-008,42640	 029,7	0
 41,40347	-008,42141	 051,1	8
 41,40347	-008,41642	 048,8	8
 41,40347	-008,41143	 045,9	8
 41,40347	-008,40644	 043,4	8
 41,40346	-008,40145	 038,8	8
 41,40347	-008,39646	 036,0	8
 41,40347	-008,39147	 035,3	0
 41,40347	-008,38648	 029,9	0
 41,40347	-008,38149	 030,4	0
 41,40347	-008,37650	 037,5	8
 41,40347	-008,37151	 034,3	8
 41,40347	-008,36652	 025,2	0
 41,40347	-008,36153	 037,8	8
 41,40347	-008,35654	 037,0	8
 41,40347	-008,35155	 045,7	8
 41,40347	-008,34656	 063,8	8
 41,40347	-008,34157	 060,9	8
 41,40347	-008,33658	 066,5	8
 41,40347	-008,33159	 025,4	8
 41,40347	-008,32660	 066,7	8
 41,40347	-008,32161	 048,7	8
 41,40347	-008,31662	 045,9	8
 41,40347	-008,31163	 056,5	8
 41,40347	-008,30663	 053,1	8
 41,40347	-008,30165	 031,2	0
 41,40347	-008,29666	 025,9	0
 41,40347	-008,29167	 030,0	0
 41,40347	-008,28667	 023,6	0
 41,40347	-008,28168	 027,5	0
 41,40347	-008,27670	 015,5	0
 41,40347	-008,27170	 049,2	0
 41,40347	-008,26672	 056,6	8
 41,40347	-008,26172	 048,9	0
 41,40347	-008,25673	 048,0	0
 41,40347	-008,25175	 034,1	0
 41,40347	-008,24675	 047,8	8
 41,40347	-008,24176	 049,6	0
 41,40347	-008,23677	 036,5	7
 41,40347	-008,23178	 030,8	0
 41,40347	-008,22679	 034,9	0
 41,40347	-008,22180	 026,1	0
 41,40347	-008,21681	 027,4	0
 41,40347	-008,21182	 024,5	0
 41,40347	-008,20683	 036,0	8
 41,40347	-008,20184	 035,2	8
 41,40347	-008,19685	 043,1	0
 41,40347	-008,19186	 042,3	0
 41,40347	-008,18687	 034,8	8
 41,40347	-008,18188	 039,5	8
 41,40347	-008,17689	 038,0	0
 41,40347	-008,17190	 035,9	0
 41,40347	-008,16691	 035,4	0
 41,40347	-008,16192	 028,8	0
 41,40347	-008,15693	 016,7	0
 41,40347	-008,15194	 030,0	0
 41,40347	-008,14695	 032,8	0
 41,40347	-008,14196	 029,3	0
 41,40347	-008,13697	 021,8	0
 41,40347	-008,13198	 029,8	0
 41,40347	-008,12699	 025,3	0
 41,40347	-008,12200	 025,7	0
 41,40346	-008,11701	 032,3	0
 41,40347	-008,11202	 041,4	7
 41,40347	-008,10703	 050,2	7
 41,40347	-008,10204	 046,3	7
 41,40347	-008,09705	 032,9	7
 41,40347	-008,09206	 026,2	0
 41,40347	-008,08707	 026,7	0
 41,40347	-008,08208	 035,5	0
 41,40347	-008,07709	 040,9	0
 41,40347	-008,07210	 051,2	7
 41,40347	-008,06711	 055,3	7
 41,40347	-008,06212	 054,8	7
 41,40347	-008,05713	 052,3	7
 41,40347	-008,05214	 055,2	7
 41,40347	-008,04715	 025,9	7
 41,40347	-008,04216	 014,8	0
 41,40347	-008,03717	 022,0	0
 41,40347	-008,03218	 056,0	7
 41,40347	-008,02719	 056,0	7
 41,40347	-008,02220	 062,0	7
 41,40347	-008,01721	 056,8	7
 41,40347	-008,01222	 057,4	7
 41,40347	-008,00723	 057,7	7
 41,40347	-008,00224	 059,0	7
 41,40347	-007,99725	 063,3	7
 41,40347	-007,99226	 058,6	7
 41,40347	-007,98727	 055,5	7
